Armenian Letter,Meaning
Ա,ɑ -  'ah' in 'father'
Բ,pʰ -  'b' in 'boat'
Գ,kʰ -  'k' in 'key' or 'g' in 'goat'
Դ,tʰ -  'd' in 'dog'
Ե,(j)ɛ -  'ye' in 'yet' or 'eh' in 'bet'
Զ,z -  'z' in 'zebra'
Է,ɛ -  'e' in 'end'
Ը,ə -  'u' in 'but'
Թ,tʰ -  't' in 'tomorrow'
Ժ,ʒ -  's' in 'measure'
Ի,i -  'ee' in 'meet'
Լ,l -  'l' in 'lily'
Խ,χ - Like guttural 'ch' in 'Bach'
Ծ,dz -  'tz' in 'Mitzi'
Կ,ɡ -  'ck' in 'Micky'
Հ,h -  'h' in 'hello'
Ձ,tsʰ -  'ds' in 'kids'
Ղ,ʁ - Like a guttural French 'r'
Ճ,"dʒ - Like a hard, clipped 'j'"
Մ,m -  'm' in 'mom'
Յ,j -  'y' in 'year' or 'y' in 'buy'
Ն,n -  'n' in 'number'
Շ,ʃ -  'sh' in 'shower'
Ո,(v)o -  'vo' in 'vocal' (beginning) or 'o' in 'low' (within a word)
Չ,tʃʰ -  'ch' in 'church'
Պ,b -  'p' in 'pizza'
Ջ,tʃʰ -  'j' in 'jeans'
Ռ,r/ɾ -  rolled Spanish 'r'
Ս,s -  's' in 'sand'
Վ,v -  'v' in 'Victor'
Տ,d - Like a hard 't' in 'but'
Ր,ɾ -  'r' in 'red' or 'rh' in 'bother' (word endings)
Ց,tsʰ -  'ts' in 'bits'
Ւ,u -  'oo' in 'cool'
Ք,kʰ -  'k' in 'kite'
Օ,o -  'o' in 'bone'
Ֆ,f -  'f' in 'life'
Ու,u -  'oo' in 'cool'
և,(j)ɛv - Combination of sounds 'ye' and 'v'
:,: - Full stop or period.
